battle_time,team_tag,team_name,team_starting_trophies,team_trophy_change,team_crowns,team_card_1,team_card_2,team_card_3,team_card_4,team_card_5,team_card_6,team_card_7,team_card_8,team_card_1_level,team_card_2_level,team_card_3_level,team_card_4_level,team_card_5_level,team_card_6_level,team_card_7_level,team_card_8_level,opponent_tag,opponent_name,opponent_starting_trophies,opponent_trophy_change,opponent_crowns,opponent_card_1,opponent_card_2,opponent_card_3,opponent_card_4,opponent_card_5,opponent_card_6,opponent_card_7,opponent_card_8,opponent_card_1_level,opponent_card_2_level,opponent_card_3_level,opponent_card_4_level,opponent_card_5_level,opponent_card_6_level,opponent_card_7_level,opponent_card_8_level,team_won
2022-05-04 10:49:42,#2PLQVY2Y0,Ozymandias,5698,-26,0,Goblin Gang,Inferno Tower,Goblin Barrel,Valkyrie,Fire Spirit,Rocket,Princess,The Log,14,12,9,12,14,12,6,5,#RJY9QLY,Qt I Aubameyang,5705,29,1,Dark Prince,Graveyard,Mega Minion,Poison,The Log,Tornado,Ice Wizard,Tombstone,9,6,12,9,6,9,6,12,False
2022-05-04 04:47:39,#2PLQVY2Y0,Ozymandias,5670,28,1,Goblin Gang,Inferno Tower,Goblin Barrel,Valkyrie,Fire Spirit,Rocket,Princess,The Log,14,12,9,12,14,12,6,5,#PYPQ2YG9,KING WUICHO,5657,-25,0,Hog Rider,Skeleton Army,Fireball,The Log,Inferno Dragon,Wall Breakers,Bandit,Mortar,12,9,12,5,5,9,5,14,True
2022-05-03 19:38:23,#2PLQVY2Y0,Ozymandias,5640,30,1,Goblin Gang,Inferno Tower,Goblin Barrel,Valkyrie,Fire Spirit,Rocket,Princess,The Log,14,12,9,12,14,12,6,5,#82C28UG9,PHOENIX,5642,-27,0,Zap,Tesla,Hog Rider,Poison,P.E.K.K.A,Goblin Gang,Magic Archer,Archer Queen,14,14,12,9,9,14,6,4,True
2022-05-03 11:45:14,#2PLQVY2Y0,Ozymandias,5610,30,1,Goblin Gang,Inferno Tower,Goblin Barrel,Valkyrie,Fire Spirit,Rocket,Princess,The Log,14,12,9,12,14,12,6,5,#8V282JQQ,##WOLF57##,5611,-27,0,Guards,Furnace,Skeleton Barrel,Flying Machine,Electro Giant,Dart Goblin,Zappies,Mini P.E.K.K.A,9,12,13,12,9,12,11,12,True
2022-05-03 11:30:23,#2PLQVY2Y0,Ozymandias,5636,-26,0,Goblin Gang,Inferno Tower,Goblin Barrel,Valkyrie,Fire Spirit,Rocket,Princess,The Log,14,12,9,12,14,12,6,5,#LJJRCU9L,hamid shams,5644,29,3,Inferno Dragon,Witch,Arrows,Royal Hogs,Minion Horde,Giant,Sparky,Bomber,6,9,14,12,14,12,6,14,False
2022-05-03 07:58:37,#2PLQVY2Y0,Ozymandias,5609,27,2,Goblin Gang,Inferno Tower,Goblin Barrel,Valkyrie,Fire Spirit,Rocket,Princess,The Log,14,12,9,12,14,12,6,5,#QUVUGY0YU,Diab,5579,-24,1,Skeleton Army,Goblin Barrel,Firecracker,Bandit,Hog Rider,Mega Knight,Inferno Dragon,Princess,9,9,14,6,12,6,6,6,True
2022-05-01 10:59:16,#2PLQVY2Y0,Ozymandias,5985,29,1,Goblin Gang,Inferno Tower,Goblin Barrel,Valkyrie,Fire Spirit,Rocket,Princess,The Log,14,12,9,12,14,12,6,5,#82GV9GRYC,guigui,5983,-26,0,Tesla,Valkyrie,Wall Breakers,Miner,Spear Goblins,Magic Archer,Tornado,The Log,14,12,9,6,13,6,8,6,True
2022-05-01 09:58:34,#2PLQVY2Y0,Ozymandias,5954,31,1,Goblin Gang,Inferno Tower,Goblin Barrel,Valkyrie,Fire Spirit,Rocket,Princess,The Log,14,12,9,12,14,12,6,5,#9UQRGR99,<c5>Mathieu94,5974,-27,0,Valkyrie,Skeleton Army,Royal Giant,Princess,Bats,Inferno Tower,Arrows,Goblin Barrel,11,8,13,5,13,11,13,9,True
2022-05-01 09:16:39,#2PLQVY2Y0,Ozymandias,5924,30,1,Goblin Gang,Inferno Tower,Goblin Barrel,Valkyrie,Fire Spirit,Rocket,Princess,The Log,14,12,9,12,14,12,6,5,#Y802PR989,ALDI❤,5924,-27,0,Goblin Hut,Giant Skeleton,Skeleton Army,Magic Archer,Arrows,Prince,Baby Dragon,Goblin Barrel,12,9,9,6,14,9,9,9,True
2022-05-04 11:19:21,#2PLQVY2Y0,Ozymandias,5672,30,3,Goblin Gang,Inferno Tower,Goblin Barrel,Valkyrie,Fire Spirit,Rocket,Princess,The Log,14,12,9,12,14,12,6,5,#9U0LJV8Q0,henrry⊙﹏⊙056,5673,-27,0,Skeleton Barrel,Barbarian Barrel,Firecracker,Goblin Barrel,Wall Breakers,Mini P.E.K.K.A,Ice Golem,Hunter,14,9,14,9,9,12,12,9,True
2022-05-04 11:37:25,#2PLQVY2Y0,Ozymandias,5702,31,1,Goblin Gang,Inferno Tower,Goblin Barrel,Valkyrie,Fire Spirit,Rocket,Princess,The Log,14,12,9,12,14,12,6,5,#CQ2RGL89,PapitaRellena,5715,-27,0,Mini P.E.K.K.A,Goblin Gang,Dark Prince,Electro Giant,Lightning,Magic Archer,Goblin Hut,Tornado,12,14,9,9,9,6,12,9,True
